Close,1,2,3,4,5,6,7,8,9,10,11,1P,2P,3P,4P,5P,6P,7P,8P,9P,10P
89.88,89.43,89.69,89.92,89.74,90.17,90.64,91.62,92.74,93.52,93.82,93.81,-0.2898873899,-0.2557829181,0.2005794517,-0.4768770101,-0.5185348632,-1.069635451,-1.207677378,-0.8340461933,-0.3197612449,0.01065984437
90.56,89.88,89.43,89.69,89.92,89.74,90.17,90.64,91.62,92.74,93.52,93.82,0.5031868501,-0.2898873899,-0.2557829181,0.2005794517,-0.4768770101,-0.5185348632,-1.069635451,-1.207677378,-0.8340461933,-0.3197612449
90.09,90.56,89.88,89.43,89.69,89.92,89.74,90.17,90.64,91.62,92.74,93.52,0.756564308,0.5031868501,-0.2898873899,-0.2557829181,0.2005794517,-0.4768770101,-0.5185348632,-1.069635451,-1.207677378,-0.8340461933
89.89,90.09,90.56,89.88,89.43,89.69,89.92,89.74,90.17,90.64,91.62,92.74,-0.5189929329,0.756564308,0.5031868501,-0.2898873899,-0.2557829181,0.2005794517,-0.4768770101,-0.5185348632,-1.069635451,-1.207677378
89.24,89.89,90.09,90.56,89.88,89.43,89.69,89.92,89.74,90.17,90.64,91.62,-0.222000222,-0.5189929329,0.756564308,0.5031868501,-0.2898873899,-0.2557829181,0.2005794517,-0.4768770101,-0.5185348632,-1.069635451
89.25,89.24,89.89,90.09,90.56,89.88,89.43,89.69,89.92,89.74,90.17,90.64,-0.7231060185,-0.222000222,-0.5189929329,0.756564308,0.5031868501,-0.2898873899,-0.2557829181,0.2005794517,-0.4768770101,-0.5185348632
89.39,89.25,89.24,89.89,90.09,90.56,89.88,89.43,89.69,89.92,89.74,90.17,0.01120573734,-0.7231060185,-0.222000222,-0.5189929329,0.756564308,0.5031868501,-0.2898873899,-0.2557829181,0.2005794517,-0.4768770101
88.58,89.39,89.25,89.24,89.89,90.09,90.56,89.88,89.43,89.69,89.92,89.74,0.1568627451,0.01120573734,-0.7231060185,-0.222000222,-0.5189929329,0.756564308,0.5031868501,-0.2898873899,-0.2557829181,0.2005794517
88.58,88.58,89.39,89.25,89.24,89.89,90.09,90.56,89.88,89.43,89.69,89.92,-0.9061416266,0.1568627451,0.01120573734,-0.7231060185,-0.222000222,-0.5189929329,0.756564308,0.5031868501,-0.2898873899,-0.2557829181
89.34,88.58,88.58,89.39,89.25,89.24,89.89,90.09,90.56,89.88,89.43,89.69,0,-0.9061416266,0.1568627451,0.01120573734,-0.7231060185,-0.222000222,-0.5189929329,0.756564308,0.5031868501,-0.2898873899
89.25,89.34,88.58,88.58,89.39,89.25,89.24,89.89,90.09,90.56,89.88,89.43,0.8579814857,0,-0.9061416266,0.1568627451,0.01120573734,-0.7231060185,-0.222000222,-0.5189929329,0.756564308,0.5031868501
89.93,89.25,89.34,88.58,88.58,89.39,89.25,89.24,89.89,90.09,90.56,89.88,-0.1007387508,0.8579814857,0,-0.9061416266,0.1568627451,0.01120573734,-0.7231060185,-0.222000222,-0.5189929329,0.756564308
90.13,89.93,89.25,89.34,88.58,88.58,89.39,89.25,89.24,89.89,90.09,90.56,0.7619047619,-0.1007387508,0.8579814857,0,-0.9061416266,0.1568627451,0.01120573734,-0.7231060185,-0.222000222,-0.5189929329
89.62,90.13,89.93,89.25,89.34,88.58,88.58,89.39,89.25,89.24,89.89,90.09,0.2223951963,0.7619047619,-0.1007387508,0.8579814857,0,-0.9061416266,0.1568627451,0.01120573734,-0.7231060185,-0.222000222
89.5,89.62,90.13,89.93,89.25,89.34,88.58,88.58,89.39,89.25,89.24,89.89,-0.5658493287,0.2223951963,0.7619047619,-0.1007387508,0.8579814857,0,-0.9061416266,0.1568627451,0.01120573734,-0.7231060185
90.33,89.5,89.62,90.13,89.93,89.25,89.34,88.58,88.58,89.39,89.25,89.24,-0.1338986833,-0.5658493287,0.2223951963,0.7619047619,-0.1007387508,0.8579814857,0,-0.9061416266,0.1568627451,0.01120573734
90.83,90.33,89.5,89.62,90.13,89.93,89.25,89.34,88.58,88.58,89.39,89.25,0.9273743017,-0.1338986833,-0.5658493287,0.2223951963,0.7619047619,-0.1007387508,0.8579814857,0,-0.9061416266,0.1568627451
90.3,90.83,90.33,89.5,89.62,90.13,89.93,89.25,89.34,88.58,88.58,89.39,0.5535259604,0.9273743017,-0.1338986833,-0.5658493287,0.2223951963,0.7619047619,-0.1007387508,0.8579814857,0,-0.9061416266
90.08,90.3,90.83,90.33,89.5,89.62,90.13,89.93,89.25,89.34,88.58,88.58,-0.5835076517,0.5535259604,0.9273743017,-0.1338986833,-0.5658493287,0.2223951963,0.7619047619,-0.1007387508,0.8579814857,0
88.86,90.08,90.3,90.83,90.33,89.5,89.62,90.13,89.93,89.25,89.34,88.58,-0.2436323367,-0.5835076517,0.5535259604,0.9273743017,-0.1338986833,-0.5658493287,0.2223951963,0.7619047619,-0.1007387508,0.8579814857
